threshold,accuracy,variant,pass_id
0.9882785552955363,0.575,plain,1
1.0103108673071879,0.5666666666666667,plain,1
1.0194733734106747,0.5666666666666667,plain,1
1.0382683776830752,0.5583333333333333,plain,1
1.0759686584446724,0.5583333333333333,plain,1
1.1008718444797474,0.55,plain,1
1.1167651428195375,0.55,plain,1
1.1255475677462659,0.5583333333333333,plain,1
1.1395738403292244,0.5666666666666667,plain,1
1.2246533203093835,0.5666666666666667,plain,1
-2.9146450805480177,0.45,plain,2
-2.9073325073059655,0.45,plain,2
-2.7941804473713123,0.44166666666666665,plain,2
-2.6808615173194474,0.45,plain,2
-2.617140155015654,0.45,plain,2
-2.5684622802604657,0.4583333333333333,plain,2
-2.541151257311601,0.4583333333333333,plain,2
-2.5312154205197372,0.45,plain,2
-2.5301324798459226,0.45,plain,2
-2.4981643890260026,0.44166666666666665,plain,2
-2.4597937011602538,0.43333333333333335,plain,2
-2.403642028797609,0.43333333333333335,plain,2
-2.359825363148683,0.44166666666666665,plain,2
-2.3337323760884114,0.44166666666666665,plain,2
-2.3243762176412446,0.43333333333333335,plain,2
-2.3236549835103926,0.43333333333333335,plain,2
-2.303040695180523,0.44166666666666665,plain,2
-2.2825717529199876,0.45,plain,2
-2.2734724365138272,0.45,plain,2
-2.2669911254787345,0.4583333333333333,plain,2
-2.264315368642823,0.4583333333333333,plain,2
-2.2529117004300416,0.4666666666666667,plain,2
-2.2369486755278514,0.4666666666666667,plain,2
-2.234761648550333,0.475,plain,2
-2.233121810903864,0.4666666666666667,plain,2
-2.226704788198846,0.4666666666666667,plain,2
-2.213896215811269,0.475,plain,2
-2.1916883056552225,0.475,plain,2
-2.1786855743320985,0.4666666666666667,plain,2
-2.1705515350255307,0.4666666666666667,plain,2
-2.152038207999325,0.475,plain,2
-2.1345843597328753,0.48333333333333334,plain,2
-2.1291740142739375,0.48333333333333334,plain,2
-2.1207717498697116,0.49166666666666664,plain,2
-2.1079180938639603,0.49166666666666664,plain,2
-2.1003887786784765,0.5,plain,2
-2.0957105621257806,0.5,plain,2
-2.0792076446454466,0.5083333333333333,plain,2
-2.0572921752852706,0.5,plain,2
-2.012078857414525,0.5,plain,2
-1.984585845940127,0.5083333333333333,plain,2
-1.983766558830758,0.5083333333333333,plain,2
-1.9756662689138254,0.5,plain,2
-1.9636188262869607,0.5,plain,2
-1.941184085076183,0.49166666666666664,plain,2
-1.920173767083168,0.48333333333333334,plain,2
-1.9142862304621153,0.48333333333333334,plain,2
-1.9096164367609758,0.475,plain,2
-1.9068012268000576,0.475,plain,2
-1.8866000366146463,0.4666666666666667,plain,2
-1.8568572997984392,0.4666666666666667,plain,2
-1.8477463378844368,0.4583333333333333,plain,2
-1.840095092767299,0.45,plain,2
-1.8267380981384782,0.45,plain,2
-1.8171191375672504,0.4583333333333333,plain,2
-1.8132602081239153,0.4583333333333333,plain,2
-1.8041638488710425,0.4666666666666667,plain,2
-1.7921578063906487,0.4666666666666667,plain,2
-1.7844284973086648,0.4583333333333333,plain,2
-1.7781325164737423,0.4666666666666667,plain,2
-1.7773982086124187,0.4666666666666667,plain,2
-1.7751483367862604,0.4583333333333333,plain,2
-1.7705354888858977,0.4583333333333333,plain,2
-1.761974377435754,0.4666666666666667,plain,2
-1.7511929077092558,0.4666666666666667,plain,2
-1.7383107910101125,0.475,plain,2
-1.7263389709418233,0.4666666666666667,plain,2
-1.7216455017035692,0.4666666666666667,plain,2
-1.7166764526313323,0.4583333333333333,plain,2
-1.7112726440376134,0.4583333333333333,plain,2
-1.7062048644966266,0.4666666666666667,plain,2
-1.7013283630318106,0.4666666666666667,plain,2
-1.6890184387154732,0.475,plain,2
-1.6772616943307734,0.4666666666666667,plain,2
-1.675074023432348,0.4666666666666667,plain,2
-1.6709544372507301,0.475,plain,2
-1.6637508117624884,0.475,plain,2
-1.6511832946727125,0.4666666666666667,plain,2
-1.6355253234813907,0.4666666666666667,plain,2
-1.6307896911571973,0.475,plain,2
-1.6278476409863145,0.48333333333333334,plain,2
-1.6272309966992082,0.48333333333333334,plain,2
-1.6212856536816613,0.475,plain,2
-1.6067324127149403,0.475,plain,2
-1.6011955932569613,0.4666666666666667,plain,2
-1.6009166870069627,0.4666666666666667,plain,2
-1.6001713287305994,0.475,plain,2
-1.5967177947950704,0.48333333333333334,plain,2
-1.5756015411330682,0.48333333333333334,plain,2
-1.5596062347366642,0.475,plain,2
-1.5519820709183425,0.475,plain,2
-1.5387385559037587,0.48333333333333334,plain,2
-1.5221784973100896,0.48333333333333334,plain,2
-1.5180960601763198,0.49166666666666664,plain,2
-1.5160182342485953,0.5,plain,2
-1.5158112335161742,0.5,plain,2
-1.5075649352984393,0.49166666666666664,plain,2
-1.4860194274860405,0.49166666666666664,plain,2
-1.476708853145264,0.5,plain,2
-1.4747063934284763,0.5,plain,2
-1.4729976654011403,0.5083333333333333,plain,2
-1.4697293731648275,0.5166666666666667,plain,2
-1.4552153533895027,0.5166666666666667,plain,2
-1.443279421993072,0.5083333333333333,plain,2
-1.4356596160849027,0.5083333333333333,plain,2
-1.426870544429668,0.5,plain,2
-1.4173746581992412,0.5,plain,2
-1.4114987426719228,0.49166666666666664,plain,2
-1.4067489685020216,0.48333333333333334,plain,2
-1.406304461666086,0.48333333333333334,plain,2
-1.4043856658897274,0.49166666666666664,plain,2
-1.399968923946387,0.49166666666666664,plain,2
-1.3964836608848785,0.5,plain,2
-1.3935682189903595,0.5,plain,2
-1.393025494380987,0.5083333333333333,plain,2
-1.3924881744347002,0.5166666666666667,plain,2
-1.389361373897604,0.5166666666666667,plain,2
-1.3804846588097506,0.525,plain,2
-1.3617478240930325,0.525,plain,2
-1.3486688384973837,0.5333333333333333,plain,2
-1.3390923309290639,0.5333333333333333,plain,2
-1.3252805999720882,0.5416666666666666,plain,2
-1.3123315582240933,0.5333333333333333,plain,2
-1.3108825530971462,0.5333333333333333,plain,2
-1.306360617062008,0.5416666666666666,plain,2
-1.2965052032436872,0.5416666666666666,plain,2
-1.2843561859097503,0.5333333333333333,plain,2
-1.2707704009976937,0.5333333333333333,plain,2
-1.2574162170377836,0.525,plain,2
-1.2444338836638094,0.5166666666666667,plain,2
-1.234072952267364,0.5166666666666667,plain,2
-1.224848623654117,0.525,plain,2
-1.2176210296600027,0.525,plain,2
-1.2022330261200196,0.5333333333333333,plain,2
-1.181672406002906,0.5333333333333333,plain,2
-1.1733524780244202,0.525,plain,2
-1.1673330535859652,0.5333333333333333,plain,2
-1.1639665679902738,0.5333333333333333,plain,2
-1.1607938049287614,0.5416666666666666,plain,2
-1.157965521237365,0.5416666666666666,plain,2
-1.1563851013154955,0.55,plain,2
-1.1556050353975296,0.55,plain,2
-1.150526037594813,0.5583333333333333,plain,2
-1.1442971954317487,0.55,plain,2
-1.1344156341524856,0.55,plain,2
-1.1276460876437195,0.5416666666666666,plain,2
-1.1264781677218487,0.5416666666666666,plain,2
-1.118548587033399,0.5333333333333333,plain,2
-1.1062309539768,0.5333333333333333,plain,2
-1.0973218536350329,0.525,plain,2
-1.0898303222629877,0.5333333333333333,plain,2
-1.0895209106418948,0.5333333333333333,plain,2
