layer,head,delta_prefix_mass_head,clean_prefix_mass_head,corrupt_prefix_mass_head
2,6.0,-0.005061149597167969,0.02357769012451172,0.028638839721679688
2,7.0,-0.003826141357421875,0.054370880126953125,0.058197021484375
2,8.0,0.0265350341796875,0.11750030517578125,0.09096527099609375
2,9.0,0.00952911376953125,0.11096954345703125,0.1014404296875
2,10.0,0.00046539306640625,0.10147857666015625,0.10101318359375
2,11.0,0.0071048736572265625,0.03978919982910156,0.032684326171875
2,12.0,0.01343536376953125,0.1033477783203125,0.08991241455078125
2,13.0,1.9073486328125e-05,0.06060028076171875,0.060581207275390625
2,14.0,-0.001491546630859375,0.015441417694091797,0.016932964324951172
2,15.0,-0.0039730072021484375,0.03986549377441406,0.0438385009765625
2,16.0,0.08740234375,0.32598876953125,0.23858642578125
2,17.0,-0.000820159912109375,0.044040679931640625,0.04486083984375
2,18.0,-0.0014400482177734375,0.01453399658203125,0.015974044799804688
2,19.0,0.00415802001953125,0.13470458984375,0.13054656982421875
2,20.0,-0.007633209228515625,0.022550582885742188,0.030183792114257812
2,21.0,0.005710601806640625,0.0347442626953125,0.029033660888671875
2,22.0,0.11248779296875,0.32586669921875,0.21337890625
2,23.0,-0.0018768310546875,0.1961669921875,0.1980438232421875
2,24.0,0.011566162109375,0.09700775146484375,0.08544158935546875
2,25.0,0.058319091796875,0.2563323974609375,0.1980133056640625
2,26.0,0.0052337646484375,0.0576171875,0.0523834228515625
2,27.0,0.01849365234375,0.1265869140625,0.10809326171875
2,28.0,-0.0023546218872070312,0.011929512023925781,0.014284133911132812
2,29.0,0.003116607666015625,0.054698944091796875,0.05158233642578125
2,30.0,0.0016326904296875,0.09110260009765625,0.08946990966796875
2,31.0,-0.0018062591552734375,0.01213836669921875,0.013944625854492188
3,0.0,-0.000946044921875,0.83544921875,0.836395263671875
3,1.0,0.004638671875,0.790618896484375,0.785980224609375
3,2.0,-0.012786865234375,0.5479736328125,0.560760498046875
3,3.0,0.00042724609375,0.836517333984375,0.836090087890625
3,4.0,-0.00927734375,0.676239013671875,0.685516357421875
3,5.0,0.006866455078125,0.7557373046875,0.748870849609375
3,6.0,0.002227783203125,0.825592041015625,0.8233642578125
3,7.0,0.0068511962890625,0.4500274658203125,0.44317626953125
3,8.0,-0.0015869140625,0.699127197265625,0.700714111328125
3,9.0,0.00067138671875,0.778533935546875,0.777862548828125
3,10.0,-0.037567138671875,0.652374267578125,0.68994140625
3,11.0,0.003021240234375,0.79266357421875,0.789642333984375
3,12.0,0.009429931640625,0.708526611328125,0.6990966796875
3,13.0,0.0115966796875,0.661865234375,0.6502685546875
3,14.0,-0.003570556640625,0.804229736328125,0.80780029296875
3,15.0,0.01641845703125,0.663177490234375,0.646759033203125
3,16.0,0.0050506591796875,0.4248809814453125,0.419830322265625
3,17.0,0.00244140625,0.801971435546875,0.799530029296875
3,18.0,0.017608642578125,0.801483154296875,0.78387451171875
3,19.0,0.00286865234375,0.8048095703125,0.80194091796875
3,20.0,-0.000244140625,0.8314208984375,0.8316650390625
3,21.0,0.03680419921875,0.739501953125,0.70269775390625
3,22.0,-0.0003662109375,0.827728271484375,0.828094482421875
3,23.0,0.0074462890625,0.79534912109375,0.78790283203125
3,24.0,-0.000244140625,0.820770263671875,0.821014404296875
3,25.0,0.003570556640625,0.798858642578125,0.7952880859375
3,26.0,0.00921630859375,0.727630615234375,0.718414306640625
3,27.0,0.001220703125,0.82391357421875,0.82269287109375
3,28.0,-0.0001220703125,0.726470947265625,0.726593017578125
3,29.0,0.00732421875,0.691986083984375,0.684661865234375
3,30.0,0.00335693359375,0.585357666015625,0.582000732421875
3,31.0,-0.00152587890625,0.623291015625,0.62481689453125
4,0.0,0.003662109375,0.84002685546875,0.83636474609375
4,1.0,-0.018646240234375,0.374725341796875,0.39337158203125
4,2.0,0.001708984375,0.504669189453125,0.502960205078125
4,3.0,-0.02020263671875,0.663665771484375,0.683868408203125
4,4.0,-0.0228729248046875,0.38177490234375,0.4046478271484375
4,5.0,0.0042724609375,0.772613525390625,0.768341064453125
4,6.0,-0.0018310546875,0.760467529296875,0.762298583984375
4,7.0,-0.010589599609375,0.7197265625,0.730316162109375
4,8.0,-0.00335693359375,0.80987548828125,0.813232421875
4,9.0,-0.001983642578125,0.820068359375,0.822052001953125
4,10.0,0.000701904296875,0.803466796875,0.802764892578125
4,11.0,0.0029144287109375,0.4430389404296875,0.44012451171875
4,12.0,0.002166748046875,0.697113037109375,0.6949462890625
4,13.0,-0.02069091796875,0.69171142578125,0.71240234375
4,14.0,0.002532958984375,0.799407958984375,0.796875
4,15.0,0.002166748046875,0.73492431640625,0.732757568359375
4,16.0,-0.009490966796875,0.7047119140625,0.714202880859375
4,17.0,0.00018310546875,0.74237060546875,0.7421875
4,18.0,-0.0030517578125,0.80926513671875,0.81231689453125
4,19.0,-0.017608642578125,0.683197021484375,0.7008056640625
