sample_id,task,layer,clean_mean_logprob,corrupt_mean_logprob,patched_mean_logprob,clean_sum_logprob,corrupt_sum_logprob,patched_sum_logprob,recovery_mean,recovery_sum,patch_window
1,strategyqa,27,-2.46661376953125,-1.8743430376052856,-1.9241456985473633,-17.26629638671875,-13.120400428771973,-13.469018936157227,0.08408766312156678,0.0840876162263321,6
1,strategyqa,28,-2.46661376953125,-1.8743430376052856,-1.923568844795227,-17.26629638671875,-13.120400428771973,-13.464981079101562,0.08311369339660654,0.08311367546506822,6
1,strategyqa,29,-2.46661376953125,-1.8743430376052856,-1.9014365673065186,-17.26629638671875,-13.120400428771973,-13.31005573272705,0.04574517817313226,0.04574531207156886,6
1,strategyqa,30,-2.46661376953125,-1.8743430376052856,-1.873725175857544,-17.26629638671875,-13.120400428771973,-13.11607551574707,-0.0010432083249574066,-0.0010431793463230121,6
1,strategyqa,31,-2.46661376953125,-1.8743430376052856,-1.8743430376052856,-17.26629638671875,-13.120400428771973,-13.120400428771973,-0.0,-0.0,6
2,strategyqa,0,-2.5742592811584473,-1.7846014499664307,-2.5696821212768555,-18.019813537597656,-12.492209434509277,-17.987773895263672,0.994203628763301,0.9942037034862815,6
2,strategyqa,1,-2.5742592811584473,-1.7846014499664307,-2.700138807296753,-18.019813537597656,-12.492209434509277,-18.900970458984375,1.1594102315712977,1.1594102827459192,6
2,strategyqa,2,-2.5742592811584473,-1.7846014499664307,-2.621802806854248,-18.019813537597656,-12.492209434509277,-18.352619171142578,1.0602077690106737,1.0602079378226557,6
2,strategyqa,3,-2.5742592811584473,-1.7846014499664307,-2.655862808227539,-18.019813537597656,-12.492209434509277,-18.591039657592773,1.1033403771597023,1.1033406373494383,6
2,strategyqa,4,-2.5742592811584473,-1.7846014499664307,-2.5706722736358643,-18.019813537597656,-12.492209434509277,-17.994705200195312,0.9954575292913983,0.9954576472953737,6
2,strategyqa,5,-2.5742592811584473,-1.7846014499664307,-2.4907925128936768,-18.019813537597656,-12.492209434509277,-17.435546875,0.8943000929962621,0.894300199008787,6
2,strategyqa,6,-2.5742592811584473,-1.7846014499664307,-2.382920503616333,-18.019813537597656,-12.492209434509277,-16.680442810058594,0.7576940765896784,0.7576941664085912,6
2,strategyqa,7,-2.5742592811584473,-1.7846014499664307,-2.31453275680542,-18.019813537597656,-12.492209434509277,-16.20172882080078,0.6710897968933419,0.6710899195783256,6
2,strategyqa,8,-2.5742592811584473,-1.7846014499664307,-2.040327787399292,-18.019813537597656,-12.492209434509277,-14.282293319702148,0.32384449386803177,0.32384444599264284,6
2,strategyqa,9,-2.5742592811584473,-1.7846014499664307,-2.024482011795044,-18.019813537597656,-12.492209434509277,-14.17137336730957,0.30377785844823907,0.3037778944588109,6
2,strategyqa,10,-2.5742592811584473,-1.7846014499664307,-1.9884110689163208,-18.019813537597656,-12.492209434509277,-13.918876647949219,0.25809865169477114,0.25809866072424065,6
2,strategyqa,11,-2.5742592811584473,-1.7846014499664307,-1.9501842260360718,-18.019813537597656,-12.492209434509277,-13.651288986206055,0.20968927505800933,0.20968932148126718,6
2,strategyqa,12,-2.5742592811584473,-1.7846014499664307,-1.9498155117034912,-18.019813537597656,-12.492209434509277,-13.64870834350586,0.20922234581006752,0.20922245687650612,6
2,strategyqa,13,-2.5742592811584473,-1.7846014499664307,-1.9475953578948975,-18.019813537597656,-12.492209434509277,-13.633167266845703,0.2064108067497156,0.20641091748286747,6
2,strategyqa,14,-2.5742592811584473,-1.7846014499664307,-1.941319465637207,-18.019813537597656,-12.492209434509277,-13.589235305786133,0.19846319692522635,0.19846317731918567,6
2,strategyqa,15,-2.5742592811584473,-1.7846014499664307,-1.9380894899368286,-18.019813537597656,-12.492209434509277,-13.566625595092773,0.19437284840502472,0.19437284988028133,6
2,strategyqa,16,-2.5742592811584473,-1.7846014499664307,-1.9506523609161377,-18.019813537597656,-12.492209434509277,-13.654565811157227,0.2102821076337182,0.21028213256107464,6
2,strategyqa,17,-2.5742592811584473,-1.7846014499664307,-1.93451988697052,-18.019813537597656,-12.492209434509277,-13.541638374328613,0.18985240566323036,0.18985240660262262,6
2,strategyqa,18,-2.5742592811584473,-1.7846014499664307,-1.9449046850204468,-18.019813537597656,-12.492209434509277,-13.61433219909668,0.20300341584919995,0.20300346147989964,6
2,strategyqa,19,-2.5742592811584473,-1.7846014499664307,-1.9349919557571411,-18.019813537597656,-12.492209434509277,-13.544942855834961,0.19045022002528975,0.19045022103554834,6
2,strategyqa,20,-2.5742592811584473,-1.7846014499664307,-1.8799463510513306,-18.019813537597656,-12.492209434509277,-13.159624099731445,0.12074204614471289,0.12074212515630267,6
2,strategyqa,21,-2.5742592811584473,-1.7846014499664307,-1.8790794610977173,-18.019813537597656,-12.492209434509277,-13.153555870056152,0.11964424158893115,0.11964432047038448,6
2,strategyqa,22,-2.5742592811584473,-1.7846014499664307,-1.9035590887069702,-18.019813537597656,-12.492209434509277,-13.324913024902344,0.15064453937905506,0.1506445788030052,6
2,strategyqa,23,-2.5742592811584473,-1.7846014499664307,-1.8824886083602905,-18.019813537597656,-12.492209434509277,-13.177419662475586,0.12396148783291441,0.12396152409379023,6
2,strategyqa,24,-2.5742592811584473,-1.7846014499664307,-1.8570729494094849,-18.019813537597656,-12.492209434509277,-12.999509811401367,0.09177582681781825,0.09177581613097247,6
2,strategyqa,25,-2.5742592811584473,-1.7846014499664307,-1.8092119693756104,-18.019813537597656,-12.492209434509277,-12.664483070373535,0.031166055408694913,0.031166059103195507,6
2,strategyqa,26,-2.5742592811584473,-1.7846014499664307,-1.8052122592926025,-18.019813537597656,-12.492209434509277,-12.63648509979248,0.02610093735924647,0.026100940453315558,6
2,strategyqa,27,-2.5742592811584473,-1.7846014499664307,-1.8026937246322632,-18.019813537597656,-12.492209434509277,-12.618855476379395,0.02291153735237066,0.022911561634537687,6
