layer,task_a,task_b,cosine,l2
16,gsm8k,strategyqa,0.4157145619392395,75.859619140625
16,mmlu,strategyqa,0.8322426676750183,38.9190788269043
17,gsm8k,mmlu,0.3782704174518585,76.90337371826172
17,gsm8k,strategyqa,0.3597279191017151,78.88694763183594
17,mmlu,strategyqa,0.8467632532119751,38.1269645690918
18,gsm8k,mmlu,0.3532472848892212,76.97468566894531
18,gsm8k,strategyqa,0.3284797966480255,79.30754852294922
18,mmlu,strategyqa,0.8497729897499084,37.5870361328125
19,gsm8k,mmlu,0.3278340697288513,74.65933990478516
19,gsm8k,strategyqa,0.30452463030815125,76.16883087158203
19,mmlu,strategyqa,0.8531179428100586,35.246673583984375
20,gsm8k,mmlu,0.2978675961494446,77.20426177978516
20,gsm8k,strategyqa,0.28002968430519104,78.91934967041016
20,mmlu,strategyqa,0.8467603325843811,37.09591293334961
21,gsm8k,mmlu,0.2969982624053955,74.12603759765625
21,gsm8k,strategyqa,0.2756665349006653,76.18476104736328
21,mmlu,strategyqa,0.8449752330780029,36.48775863647461
22,gsm8k,mmlu,0.26844295859336853,74.097412109375
22,gsm8k,strategyqa,0.2519124746322632,75.32080841064453
22,mmlu,strategyqa,0.8451787233352661,35.899688720703125
23,gsm8k,mmlu,0.2503916323184967,74.45767974853516
23,gsm8k,strategyqa,0.23448607325553894,74.73313903808594
23,mmlu,strategyqa,0.837859570980072,36.92635726928711
24,gsm8k,mmlu,0.24036216735839844,73.7381820678711
24,gsm8k,strategyqa,0.2306201159954071,73.85246276855469
24,mmlu,strategyqa,0.8349621295928955,37.31200408935547
25,gsm8k,mmlu,0.2512642443180084,69.33605194091797
25,gsm8k,strategyqa,0.23101499676704407,70.04795837402344
25,mmlu,strategyqa,0.8306910991668701,36.22295379638672
26,gsm8k,mmlu,0.24240359663963318,67.76966094970703
26,gsm8k,strategyqa,0.2341381311416626,67.50377655029297
26,mmlu,strategyqa,0.8322228789329529,35.53459930419922
27,gsm8k,mmlu,0.2433435469865799,66.24092102050781
27,gsm8k,strategyqa,0.23376089334487915,66.29962158203125
27,mmlu,strategyqa,0.8260868787765503,35.687191009521484
28,gsm8k,mmlu,0.24378077685832977,63.95356750488281
28,gsm8k,strategyqa,0.24281196296215057,62.32912063598633
28,mmlu,strategyqa,0.8147647976875305,35.32682800292969
29,gsm8k,mmlu,0.25967153906822205,63.51823425292969
29,gsm8k,strategyqa,0.24708200991153717,62.13630294799805
29,mmlu,strategyqa,0.8048204779624939,35.974578857421875
30,gsm8k,mmlu,0.3058391511440277,59.685733795166016
30,gsm8k,strategyqa,0.27872270345687866,59.33323287963867
30,mmlu,strategyqa,0.8084359169006348,34.283424377441406
31,gsm8k,mmlu,0.3850322365760803,55.36474609375
31,gsm8k,strategyqa,0.3543826639652252,55.334041595458984
31,mmlu,strategyqa,0.8226737976074219,32.40845489501953
32,gsm8k,mmlu,0.9003565311431885,39.387813568115234
32,gsm8k,strategyqa,0.8916842937469482,41.1458854675293
32,mmlu,strategyqa,0.9682885408401489,22.544607162475586
