layer,task,n_samples,hidden_dim,pca_k,explained_variance,centroid_norm
17,gsm8k,5,3072,4,0.9999999999999992,88.66551660351963
17,strategyqa,5,3072,4,1.0,293.6007040482954
17,mmlu,9,3072,8,0.9999999999999999,117.95101653290448
18,gsm8k,5,3072,4,0.9999999999999994,102.49334014146298
18,strategyqa,5,3072,4,1.0,300.5811577219056
18,mmlu,9,3072,8,0.9999999999999998,128.7336150833082
19,gsm8k,5,3072,4,0.9999999999999996,109.98148538864959
19,strategyqa,5,3072,4,1.0,305.9449786073924
19,mmlu,9,3072,8,0.9999999999999998,134.8466011470424
20,gsm8k,5,3072,4,0.9999999999999997,120.84395830516557
20,strategyqa,5,3072,4,1.0,313.23078879692866
20,mmlu,9,3072,8,0.9999999999999999,144.23221057823196
21,gsm8k,5,3072,4,0.9999999999999998,134.54168373627684
21,strategyqa,5,3072,4,1.0,322.48714656300876
21,mmlu,9,3072,8,0.9999999999999999,153.58617919248968
22,gsm8k,5,3072,4,0.9999999999999998,152.12617216025654
22,strategyqa,5,3072,4,1.0,332.521902998321
22,mmlu,9,3072,8,1.0,166.2330270472738
23,gsm8k,5,3072,4,0.9999999999999999,168.1519293121685
23,strategyqa,5,3072,4,1.0,346.7090013245506
23,mmlu,9,3072,8,1.0,179.9671473882925
24,gsm8k,5,3072,4,0.9999999999999998,196.1408303756553
24,strategyqa,5,3072,4,1.0,365.8039507886075
24,mmlu,9,3072,8,1.0,200.09375210480746
25,gsm8k,5,3072,4,0.9999999999999999,228.33617542347392
25,strategyqa,5,3072,4,1.0,395.5028939966377
25,mmlu,9,3072,8,1.0,226.8719089716431
26,gsm8k,5,3072,4,0.9999999999999999,254.2769537222142
26,strategyqa,5,3072,4,1.0,419.1940183120385
26,mmlu,9,3072,8,1.0,249.3751980382002
27,gsm8k,5,3072,4,1.0,291.1178531173053
27,strategyqa,5,3072,4,1.0,444.410035177548
27,mmlu,9,3072,8,1.0,276.0383843167285
28,gsm8k,5,3072,4,1.0,329.3383835225874
28,strategyqa,5,3072,4,1.0,472.21374177395984
28,mmlu,9,3072,8,1.0,313.2097090869799
29,gsm8k,5,3072,4,1.0,382.1595396006238
29,strategyqa,5,3072,4,1.0,430.4969904482849
29,mmlu,9,3072,8,1.0,352.1086980803962
30,gsm8k,5,3072,4,1.0,467.495027661813
30,strategyqa,5,3072,4,1.0,495.9835513914406
30,mmlu,9,3072,8,1.0,426.6329224235619
31,gsm8k,5,3072,4,0.9999999999999982,63.20367115276087
31,strategyqa,5,3072,4,0.9999999999999981,73.699352459831
31,mmlu,9,3072,8,0.9999999999999994,63.807197118586856
